article_id,downloaded_date
426218,2022-03-25
426824,2022-03-25
436119,2022-03-26
578564,2022-03-26
2015530,2022-03-27
340497,2022-03-27
372284,2022-03-27
2222860,2022-03-28
413742,2022-03-28
413890,2022-03-28
419614,2022-03-28
419795,2022-03-28
422893,2022-03-28
425465,2022-03-28
425589,2022-03-28
429128,2022-03-28
439459,2022-03-28
455511,2022-03-28
625786,2022-03-28
824475,2022-03-28
1896851,2022-03-29
428457,2022-03-29
449428,2022-03-29
457434,2022-03-29
457650,2022-03-29
458246,2022-03-29
471744,2022-03-29
476817,2022-03-29
494236,2022-03-29
516003,2022-03-29
516006,2022-03-29
517164,2022-03-29
517355,2022-03-29
524887,2022-03-29
733976,2022-03-29
502563,2022-03-30
510857,2022-03-30
512396,2022-03-30
517635,2022-03-30
524972,2022-03-30
528021,2022-03-30
528443,2022-03-30
533829,2022-03-30
540892,2022-03-30
541160,2022-03-30
552242,2022-03-30
559922,2022-03-30
560493,2022-03-30
560588,2022-03-30
587411,2022-03-30
896313,2022-03-30
597596,2022-03-31
615453,2022-03-31
615461,2022-03-31
623292,2022-03-31
623380,2022-03-31
623417,2022-03-31
623485,2022-03-31
625314,2022-03-31
627043,2022-03-31
634084,2022-03-31
639144,2022-03-31
676909,2022-03-31
678224,2022-03-31
723811,2022-03-31
746815,2022-03-31
1138187,2022-04-01
1549013,2022-04-01
704263,2022-04-01
726445,2022-04-01
726571,2022-04-01
728906,2022-04-01
734285,2022-04-01
755329,2022-04-01
757828,2022-04-01
777480,2022-04-01
780740,2022-04-01
793395,2022-04-01
796098,2022-04-01
800487,2022-04-01
807615,2022-04-01
821274,2022-04-01
825466,2022-04-01
1006066,2022-04-02
1092237,2022-04-02
848839,2022-04-02
898818,2022-04-02
920306,2022-04-02
931403,2022-04-02
943443,2022-04-02
959740,2022-04-02
1011081,2022-04-03
1024713,2022-04-03
1081722,2022-04-03
1089225,2022-04-03
1092926,2022-04-03
1093474,2022-04-03
1138141,2022-04-03
1141524,2022-04-03
1227928,2022-04-03
1228546,2022-04-03
1511077,2022-04-03
1543153,2022-04-03
1227715,2022-04-04
1227730,2022-04-04
1240455,2022-04-04
1251068,2022-04-04
1258901,2022-04-04
1262570,2022-04-04
1276621,2022-04-04
1276661,2022-04-04
1279574,2022-04-04
1281862,2022-04-04
1293309,2022-04-04
1296929,2022-04-04
1298430,2022-04-04
1314239,2022-04-04
1330472,2022-04-04
1354803,2022-04-04
1478103,2022-04-04
1421348,2022-04-05
1438965,2022-04-05
1470385,2022-04-05
1478141,2022-04-05
1479648,2022-04-05
1480953,2022-04-05
1497161,2022-04-05
1497495,2022-04-05
1498194,2022-04-05
1704546,2022-04-05
1964200,2022-04-05
1521144,2022-04-06
1551502,2022-04-06
1554267,2022-04-06
1566688,2022-04-06
1578681,2022-04-06
1584099,2022-04-06
1587993,2022-04-06
1588501,2022-04-06
1595579,2022-04-06
1596545,2022-04-06
1635467,2022-04-07
1655560,2022-04-07
1679152,2022-04-07
1682674,2022-04-07
1694081,2022-04-07
1696099,2022-04-07
1775573,2022-04-07
1845206,2022-04-07
1749828,2022-04-08
1787828,2022-04-08
1792524,2022-04-08
1807056,2022-04-08
1811789,2022-04-08
1850283,2022-04-09
1860324,2022-04-09
1878824,2022-04-09
1907918,2022-04-10
1918680,2022-04-10
1936012,2022-04-10
1963245,2022-04-11
1979029,2022-04-11
1983397,2022-04-11
2008485,2022-04-11
2021946,2022-04-11
2150382,2022-04-11
1998813,2022-04-12
2026013,2022-04-12
2010882,2022-04-13
2023525,2022-04-13
2041653,2022-04-13
2042107,2022-04-13
2048393,2022-04-13
2053959,2022-04-13
2023465,2022-04-14
2024078,2022-04-14
2025595,2022-04-14
2028224,2022-04-14
2033521,2022-04-14
2041615,2022-04-15
2063107,2022-04-15
2053825,2022-04-16
2060872,2022-04-16
2062426,2022-04-16
2069978,2022-04-17
2074813,2022-04-17
2081578,2022-04-17
2092686,2022-04-17
2094538,2022-04-18
2095815,2022-04-18
2097544,2022-04-18
2101788,2022-04-18
2115319,2022-04-18
2104843,2022-04-19
2115330,2022-04-19
2242251,2022-04-19
2114216,2022-04-20
2119419,2022-04-20
2208607,2022-04-20
2134015,2022-04-21
2137276,2022-04-21
2144793,2022-04-21
2170124,2022-04-21
2150320,2022-04-22
2150388,2022-04-22
2155952,2022-04-22
2157012,2022-04-22
2158132,2022-04-22
2158690,2022-04-23
2169477,2022-04-23
2186286,2022-04-24
2241438,2022-04-24
2194486,2022-04-25
2203583,2022-04-25
2207612,2022-04-25
2212524,2022-04-26
2219618,2022-04-26
2226371,2022-04-26
2299880,2022-04-26
2224758,2022-04-27
2231218,2022-04-27
2235430,2022-04-27
2239728,2022-04-27
2241325,2022-04-27
2275096,2022-04-27
2262917,2022-04-29
2266890,2022-04-29
2274916,2022-04-29
2284154,2022-04-29
2279161,2022-04-30
2292360,2022-04-30
2346100,2022-05-01
2311760,2022-05-02
2313861,2022-05-02
2313930,2022-05-02
2314180,2022-05-02
2325276,2022-05-03
2333865,2022-05-04
2334069,2022-05-04
2339286,2022-05-04
2338356,2022-05-05
2339287,2022-05-05
2350926,2022-05-05
2353054,2022-05-05
2345105,2022-05-06
2348780,2022-05-06
2351271,2022-05-07
2354712,2022-05-08
2355199,2022-05-08
2355237,2022-05-09
